DEBUG:2022-06-12 09:30:22,975:ingest_data:files exported
DEBUG:2022-06-20 08:58:54,112:ingest_data:files exported
DEBUG:2022-06-20 09:17:58,520:ingest_data:files exported
DEBUG:2022-06-20 09:28:41,307:ingest_data:files exported
DEBUG:2022-06-20 09:31:06,343:ingest_data:files exported
DEBUG:2022-06-20 09:34:41,797:ingest_data:files exported
DEBUG:2022-06-20 09:35:26,643:ingest_data:files exported
DEBUG:2022-06-20 09:39:50,151:ingest_data:files exported
DEBUG:2022-06-20 09:39:53,281:ingest_data:files exported
