DEBUG:2022-06-20 09:12:33,978:score:{'mae': 70626.28459018603, 'mse': 17394094911.537563, 'rmse': 131886.67450329303, 'mape': 0.1348204685910201, 'VarScore': 0.876004467906015, 'r2': 0.8759999495063666}
DEBUG:2022-06-20 09:12:48,262:score:{'mae': 70626.28459018603, 'mse': 17394094911.537563, 'rmse': 131886.67450329303, 'mape': 0.1348204685910201, 'VarScore': 0.876004467906015, 'r2': 0.8759999495063666}
DEBUG:2022-06-20 09:13:59,165:score:{'mae': 70626.28459018603, 'mse': 17394094911.537563, 'rmse': 131886.67450329303, 'mape': 0.1348204685910201, 'VarScore': 0.876004467906015, 'r2': 0.8759999495063666}
DEBUG:2022-06-20 09:20:09,427:score:{'mae': 70626.28459018603, 'mse': 17394094911.537563, 'rmse': 131886.67450329303, 'mape': 0.1348204685910201, 'VarScore': 0.876004467906015, 'r2': 0.8759999495063666}
DEBUG:2022-06-20 09:28:44,089:score:{'mae': 70126.78155200346, 'mse': 17012741279.655336, 'rmse': 130432.89952943366, 'mape': 0.1339133717224676, 'VarScore': 0.8787231551081988, 'r2': 0.8787185657867664}
DEBUG:2022-06-20 09:31:09,068:score:{'mae': 70020.35895112144, 'mse': 16816133993.479574, 'rmse': 129677.0372636558, 'mape': 0.13384576837183854, 'VarScore': 0.8801217764326111, 'r2': 0.8801201514132219}
DEBUG:2022-06-20 09:34:44,577:score:{'mae': 70571.96373251005, 'mse': 17620750787.2053, 'rmse': 132743.17604760441, 'mape': 0.13444677210724237, 'VarScore': 0.8743873276645695, 'r2': 0.8743841517215198}
DEBUG:2022-06-20 09:39:52,878:score:{'mae': 70087.0041766179, 'mse': 17275964337.29474, 'rmse': 131438.06274171398, 'mape': 0.1338250627684315, 'VarScore': 0.8768422138722124, 'r2': 0.8768420857166983}
DEBUG:2022-06-20 09:39:55,753:score:{'mae': 70093.78856402573, 'mse': 17291382543.157623, 'rmse': 131496.70164364437, 'mape': 0.13394931184620715, 'VarScore': 0.8767346030926643, 'r2': 0.8767321715006817}
